INFO:root:         3089015 function calls (3068914 primitive calls) in 7.022 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      500    0.001    0.000    0.009    0.000 <__array_function__ internals>:2(prod)
     2500    0.005    0.000    0.009    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/numpy/core/shape_base.py:24(atleast_1d)
     1000    0.003    0.000    0.008    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/ngboost/learners.py:14(default_tree_learner)
      500    0.001    0.000    0.008    0.000 <__array_function__ internals>:2(mean)
     1798    0.002    0.000    0.008    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/numpy/lib/npyio.py:1035(split_line)
     1000    0.002    0.000    0.008    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/numpy/core/fromnumeric.py:2504(amax)
    17005    0.006    0.000    0.008    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/scipy/sparse/base.py:1189(isspmatrix)
     7512    0.006    0.000    0.008    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/enum.py:284(__call__)
     6000    0.005    0.000    0.008    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/sklearn/utils/validation.py:325(_ensure_no_complex_data)
     6000    0.007    0.000    0.008    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/warnings.py:493(__exit__)
     1000    0.003    0.000    0.008    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/numpy/core/_dtype.py:319(_name_get)
      500    0.001    0.000    0.007    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/numpy/core/fromnumeric.py:2792(prod)
     9006    0.007    0.000    0.007    0.000 {built-in method _abc._abc_subclasscheck}
    34009    0.007    0.000    0.007    0.000 {built-in method builtins.issubclass}
      500    0.001    0.000    0.007    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/numpy/core/fromnumeric.py:3153(mean)
     1500    0.001    0.000    0.007    0.000 <__array_function__ internals>:2(putmask)
     6000    0.005    0.000    0.007    0.000 <frozen importlib._bootstrap>:416(parent)
    20501    0.006    0.000    0.006    0.000 {built-in method builtins.getattr}
     1002    0.006    0.000    0.006    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/numpy/core/_internal.py:262(__array_interface__)
     1000    0.001    0.000    0.006    0.000 <__array_function__ internals>:2(reshape)
     1000    0.002    0.000    0.006    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/sklearn/tree/tree.py:1091(__init__)
     9000    0.006    0.000    0.006    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/numpy/core/fromnumeric.py:74(<dictcomp>)
     6000    0.006    0.000    0.006    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/warnings.py:453(__init__)
    12016    0.004    0.000    0.005    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/inspect.py:2799(<genexpr>)
     1802    0.005    0.000    0.005    0.000 {method 'split' of 'str' objects}
     6000    0.005    0.000    0.005    0.000 {method 'remove' of 'list' objects}
3595/1798    0.002    0.000    0.005    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/numpy/core/_internal.py:910(__call__)
     5000    0.002    0.000    0.005    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/sklearn/base.py:621(is_classifier)
     1000    0.000    0.000    0.005    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/numpy/core/_asarray.py:141(ascontiguousarray)
     1002    0.005    0.000    0.005    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/ctypes/__init__.py:497(cast)
     6000    0.005    0.000    0.005    0.000 {method 'ravel' of 'numpy.ndarray' objects}
    22530    0.005    0.000    0.005    0.000 {method 'values' of 'mappingproxy' objects}
    21000    0.004    0.000    0.004    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/numpy/core/numerictypes.py:587(<listcomp>)
3594/1797    0.003    0.000    0.004    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/numpy/lib/npyio.py:1018(pack_items)
